antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.0031520483246508424,0.0029493442523260294,5.067601808120325e-05,0.01607717041800643,5.451099987845438,4.1379542471840395e-05,1.0133423331291718
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.0029493442523260294,0.0031520483246508424,5.067601808120325e-05,0.017182130584192438,5.451099987845438,4.1379542471840395e-05,1.0142753634179251
frozenset({'36f60d45225e60c7da4558b070ce4b60'}),frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),0.0011250076014027123,0.0008209514929154927,0.0001216224433948878,0.1081081081081081,131.68635301968635,0.00012069886672497497,1.1202916604473372
frozenset({'3f14d740544f37ece8a9e7bc8349797e'}),frozenset({'36f60d45225e60c7da4558b070ce4b60'}),0.0008209514929154927,0.0011250076014027123,0.0001216224433948878,0.14814814814814814,131.68635301968632,0.00012069886672497497,1.172592382380962
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'422879e10f46682990de24d770e7f83d'}),0.0031520483246508424,0.003567591672916709,0.00011148723977864716,0.03536977491961415,9.91418810289389,0.00010024201842299175,1.0329682632990762
frozenset({'422879e10f46682990de24d770e7f83d'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.003567591672916709,0.0031520483246508424,0.00011148723977864716,0.03125,9.91418810289389,0.00010024201842299175,1.0290043372132636
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'389d119b48cf3043d311335e499d9c6b'}),0.0029088034378610666,0.0031520483246508424,9.121683254616585e-05,0.0313588850174216,9.94873231231164,8.204814354311726e-05,1.0291200076648388
frozenset({'389d119b48cf3043d311335e499d9c6b'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.0031520483246508424,0.0029088034378610666,9.121683254616585e-05,0.028938906752411574,9.94873231231164,8.204814354311726e-05,1.0268058348702822
frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),frozenset({'368c6c730842d78016ad823897a372db'}),0.0029088034378610666,0.0029493442523260294,8.108162892992521e-05,0.027874564459930317,9.451105762898573,7.250256622932347e-05,1.0256399218623025
frozenset({'368c6c730842d78016ad823897a372db'}),frozenset({'53759a2ecddad2bb87a079a1f1519f73'}),0.0029493442523260294,0.0029088034378610666,8.108162892992521e-05,0.027491408934707903,9.451105762898571,7.250256622932347e-05,1.0252775201398674
